# Moller et al. 2024 
# SNe Ia selected with SuperNNova without host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology 
# Contains HQ cuts using SNphoto z fit with SALT2 
# zHD, c, x1 are derived simultanoeusly  
SNID,IAUC,SNTYPE,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_MAG_r,HOSTGAL_MAGERR_r,all_class0_S_0,zHD,zHDERR,x1,x1ERR,c,cERR,FITPROB
1411097,DES16C3arc      ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,23.12,99.0,0.9957769,0.74148,0.00672,-2.19111,0.53665,-0.137525,0.0336548,0.99853
1411114,DES16C3asw      ,0,0.8371,0.001,0.8378,0.001,10.03,0.03,23.34,99.0,0.99924743,0.87308,0.01411,1.73516,0.62345,0.0372719,0.0374646,0.94939
1418043,DES16C2awa      ,0,0.4158,0.001,0.4163,0.001,10.91,0.01,20.91,99.0,0.99999464,0.42507,0.00423,-1.99447,0.38361,0.0199338,0.0276598,0.92472
1420185,DES16C3bam      ,0,0.6445,0.001,0.6452,0.001,9.6,0.01,23.35,99.0,0.99952173,0.89351,0.00078,0.63865,0.34551,-0.116136,0.02003,0.6901
1421182,DES16C3bau      ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,24.21,99.0,0.9980698,0.77682,0.01968,0.30207,0.66,0.17854,0.0457939,0.91494
1423159,DES16X3baw      ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,23.98,99.0,0.10085904,1.11519,0.00753,2.35782,0.75904,-0.065341,0.038899,0.0427193
1430116,DES16C3bnh      ,0,1.0214,0.001,1.0222,0.001,11.41,0.09,23.16,99.0,0.91471213,0.93612,0.00669,-1.6903,0.0312842,-0.0921857,0.015957,0.84386
1430136,DES16S1bnn      ,0,0.4125,0.001,0.4135,0.001,9.88,0.02,21.39,99.0,0.99992204,0.59501,0.00816,1.45616,0.35328,-0.190894,0.0247348,0.98552
1430157,DES16S1bni      ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,24.51,99.0,0.9992478,0.64581,0.01166,-2.41201,0.42545,-0.160719,0.0324729,0.8354
1430158,DES16S1bno      ,101,0.1529,0.001,0.1537,0.001,8.38,0.03,22.85,99.0,0.99997973,0.46136,0.01042,-1.72849,0.35384,-0.0397848,0.0267431,0.85021
1430167,DES16S1bnm      ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.14,99.0,0.80416435,0.79666,0.01424,0.0858472,0.53834,-0.170237,0.0318211,0.45345
1430171,DES16S2bnk      ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,24.45,99.0,0.774232,0.68846,0.01355,1.30465,0.71061,0.038675,0.0420008,0.62482
1430179,DES16S2bdu      ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.12,99.0,0.99859875,0.62951,0.0103,-1.3856,0.62626,-0.0582861,0.0421021,0.50028
