# Moller et al. 2024 
# SNe Ia selected with SuperNNova without host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology In DES+2024 
# Contains HQ cuts using SNphoto z fit with SALT2 
# zHD, c, x1 are derived simultanoeusly  
# all_class0_s* probabilities for different models  
# ensemble=average_probability_set_0  
SNID,IAUC,SNTYPE,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_MAG_r,HOSTGAL_MAGERR_r,zHD,zHDERR,x1,x1ERR,c,cERR,FITPROB,all_class0_S_0,all_class0_S_55,all_class0_S_100,all_class0_S_1000,all_class0_S_30469,average_probability_set_0
1372182,DES16E1qu       ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,24.69,99.0,0.56714,0.00575,0.75008,0.42499,0.07886,0.0295234,0.42424,0.99999857,0.9999988,0.9999858,0.9999919,0.99999225,0.9999935
1373028,DES16X2up       ,0,0.2552,0.001,0.2562,0.001,11.08,0.03,19.74,99.0,0.23365,0.00385,-1.33297,0.30365,-0.0731034,0.0216487,0.96528,0.99999964,1.0,1.0,1.0,1.0,0.9999999
1373040,DES16X3ko       ,0,0.2617,0.001,0.2627,0.001,10.79,0.04,19.88,99.0,0.22278,0.04623,0.24601,0.3151,0.14966,0.16552,1.0,1.0,0.99999666,0.99999976,1.0,0.99999964,0.9999992
1373042,DES16X3kv       ,0,0.2372,0.001,0.2382,0.001,10.58,0.02,20.26,99.0,0.25927,0.01288,-2.26656,0.2927,-0.0565786,0.0369715,0.99212,0.99999964,0.9999999,0.9999566,1.0,0.99999905,0.99999106
1373053,DES16X2us       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,21.88,99.0,0.80656,0.00722,1.88699,0.68437,-0.0943072,0.0377453,0.17814,0.96221954,0.8988697,0.93421054,0.92472655,0.8679084,0.9175869
1375087,DES16C3qv       ,0,0.6295,0.001,0.6302,0.001,9.81,0.03,22.91,99.0,0.67027,0.00502,-0.547339,0.35901,-0.0763133,0.0242852,0.52741,0.99999964,0.99999106,0.99999785,0.9999956,1.0,0.99999684
1376138,DES16E2rl       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,23.13,99.0,0.58279,0.01054,-1.74592,0.79784,0.16691,0.046151,0.77691,0.84833884,0.77007395,0.55965084,0.9146322,0.54756594,0.7280523
1376168,DES16E2rd       ,1,0.4924,0.001,0.4935,0.001,11.05,0.03,20.99,99.0,0.47615,0.0055,-0.780281,0.37669,-0.0367687,0.026608,0.7732,0.99999964,0.99999976,0.99999917,0.9999995,1.0,0.99999964
1376225,DES16C3rx       ,0,0.7251,0.001,0.7258,0.001,11.09,0.04,23.06,99.0,0.68657,0.00621,-2.11661,0.39561,-0.13814,0.0246325,0.11574,0.8299887,0.999744,0.5984549,0.95062685,0.7498756,0.8257381
1377118,DES16E2sw       ,0,0.8038,0.001,0.8051,0.001,11.16,0.11,23.25,99.0,0.80414,0.01982,-0.23865,0.89418,-0.0144268,0.0518875,0.016606,0.928765,0.96351063,0.958585,0.8894658,0.9400475,0.93607485
1380057,DES16E1yi       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,22.29,99.0,0.37426,0.05856,-1.54806,0.57626,0.12574,0.11033,0.54204,0.9999951,0.9999976,0.9999931,0.9999988,0.99999976,0.99999684
